Dataset,N,Node,H_norm,max_prob,tau_v,Decision,tau_max_dynamic,tau_min_dynamic
Cora,2708,36,0.010112,0.997662,0.987639,Keep original,0.989661,0.789661
Cora,2708,37,0.106616,0.958316,0.968338,Accept refinement,0.989661,0.789661
Cora,2708,38,0.048033,0.985719,0.980054,Keep original,0.989661,0.789661
Cora,2708,39,0.007283,0.99836,0.988204,Keep original,0.989661,0.789661
Cora,2708,40,0.012901,0.996895,0.987081,Keep original,0.989661,0.789661
Cora,2708,41,0.06439,0.980952,0.976783,Keep original,0.989661,0.789661
Cora,2708,42,0.000926,0.99984,0.989476,Keep original,0.989661,0.789661
Cora,2708,43,0.012136,0.997229,0.987234,Keep original,0.989661,0.789661
Cora,2708,44,0.003213,0.999321,0.989018,Keep original,0.989661,0.789661
Cora,2708,45,0.032057,0.990712,0.98325,Keep original,0.989661,0.789661
Cora,2708,46,0.038729,0.989682,0.981915,Keep original,0.989661,0.789661
Cora,2708,47,0.002089,0.999593,0.989243,Keep original,0.989661,0.789661
Cora,2708,48,0.031,0.989607,0.983461,Keep original,0.989661,0.789661
Cora,2708,49,0.084293,0.971115,0.972802,Accept refinement,0.989661,0.789661
Cora,2708,50,0.073745,0.977762,0.974912,Keep original,0.989661,0.789661
Cora,2708,51,0.034014,0.990919,0.982858,Keep original,0.989661,0.789661
Cora,2708,52,0.030644,0.991963,0.983532,Keep original,0.989661,0.789661
Cora,2708,53,0.038265,0.989804,0.982008,Keep original,0.989661,0.789661
Cora,2708,54,0.117138,0.961592,0.966233,Accept refinement,0.989661,0.789661
Cora,2708,55,0.07002,0.973915,0.975657,Accept refinement,0.989661,0.789661
Cora,2708,56,0.017119,0.995896,0.986237,Keep original,0.989661,0.789661
Cora,2708,57,0.039799,0.988908,0.981701,Keep original,0.989661,0.789661
Cora,2708,58,0.041819,0.988755,0.981297,Keep original,0.989661,0.789661
Cora,2708,59,0.002396,0.999545,0.989182,Keep original,0.989661,0.789661
Cora,2708,60,0.186419,0.924595,0.952377,Accept refinement,0.989661,0.789661
Cora,2708,61,0.117017,0.955722,0.966258,Accept refinement,0.989661,0.789661
Cora,2708,62,0.042042,0.98845,0.981253,Keep original,0.989661,0.789661
Cora,2708,63,0.003155,0.999377,0.98903,Keep original,0.989661,0.789661
Cora,2708,64,0.004134,0.999161,0.988834,Keep original,0.989661,0.789661
Cora,2708,65,0.088472,0.968091,0.971967,Accept refinement,0.989661,0.789661
Cora,2708,66,0.021845,0.994499,0.985292,Keep original,0.989661,0.789661
Cora,2708,67,0.002794,0.999458,0.989102,Keep original,0.989661,0.789661
Cora,2708,68,0.142208,0.95157,0.961219,Accept refinement,0.989661,0.789661
Cora,2708,69,0.074507,0.976812,0.97476,Keep original,0.989661,0.789661
Cora,2708,70,0.016638,0.996059,0.986333,Keep original,0.989661,0.789661
Cora,2708,71,0.014882,0.996429,0.986685,Keep original,0.989661,0.789661
Cora,2708,72,0.113073,0.963357,0.967046,Accept refinement,0.989661,0.789661
Cora,2708,73,0.01676,0.995579,0.986309,Keep original,0.989661,0.789661
Cora,2708,74,0.052361,0.984824,0.979189,Keep original,0.989661,0.789661
Cora,2708,75,0.019318,0.995299,0.985797,Keep original,0.989661,0.789661
Cora,2708,76,0.142781,0.947738,0.961105,Accept refinement,0.989661,0.789661
Cora,2708,77,0.021481,0.994473,0.985365,Keep original,0.989661,0.789661
Cora,2708,78,0.015024,0.996166,0.986656,Keep original,0.989661,0.789661
Cora,2708,79,0.075975,0.976353,0.974466,Keep original,0.989661,0.789661
Cora,2708,80,0.013373,0.996888,0.986986,Keep original,0.989661,0.789661
Cora,2708,81,0.011399,0.997227,0.987381,Keep original,0.989661,0.789661
Cora,2708,82,0.054676,0.984322,0.978726,Keep original,0.989661,0.789661
Cora,2708,83,0.015506,0.996292,0.98656,Keep original,0.989661,0.789661
Cora,2708,84,0.045138,0.987415,0.980633,Keep original,0.989661,0.789661
Cora,2708,85,0.016352,0.995513,0.986391,Keep original,0.989661,0.789661
Cora,2708,86,0.098815,0.966815,0.969898,Accept refinement,0.989661,0.789661
Cora,2708,87,0.004883,0.999,0.988684,Keep original,0.989661,0.789661
Cora,2708,88,0.087496,0.964343,0.972162,Accept refinement,0.989661,0.789661
Cora,2708,89,0.00089,0.999848,0.989483,Keep original,0.989661,0.789661
Cora,2708,90,0.020638,0.994779,0.985533,Keep original,0.989661,0.789661
Cora,2708,91,0.015469,0.996071,0.986567,Keep original,0.989661,0.789661
Cora,2708,92,0.004376,0.999056,0.988786,Keep original,0.989661,0.789661
Cora,2708,93,0.056244,0.983542,0.978412,Keep original,0.989661,0.789661
Cora,2708,94,0.037955,0.987071,0.98207,Keep original,0.989661,0.789661
Cora,2708,95,0.000965,0.999829,0.989468,Keep original,0.989661,0.789661
Cora,2708,96,0.011374,0.997366,0.987386,Keep original,0.989661,0.789661
Cora,2708,97,0.017836,0.995709,0.986094,Keep original,0.989661,0.789661
Cora,2708,98,0.01283,0.997068,0.987095,Keep original,0.989661,0.789661
Cora,2708,99,0.00027,0.999958,0.989607,Keep original,0.989661,0.789661
Cora,2708,100,0.034449,0.991031,0.982771,Keep original,0.989661,0.789661
Cora,2708,101,0.068541,0.977924,0.975953,Keep original,0.989661,0.789661
Cora,2708,102,0.04232,0.988171,0.981197,Keep original,0.989661,0.789661
Cora,2708,103,0.021283,0.994766,0.985404,Keep original,0.989661,0.789661
Cora,2708,104,0.002593,0.999507,0.989142,Keep original,0.989661,0.789661
Cora,2708,105,0.008309,0.998201,0.987999,Keep original,0.989661,0.789661
Cora,2708,106,0.001392,0.999729,0.989383,Keep original,0.989661,0.789661
Cora,2708,107,0.003934,0.99918,0.988874,Keep original,0.989661,0.789661
Cora,2708,108,0.029708,0.991611,0.983719,Keep original,0.989661,0.789661
Cora,2708,109,0.001486,0.999718,0.989364,Keep original,0.989661,0.789661
Cora,2708,110,0.01243,0.997066,0.987175,Keep original,0.989661,0.789661
Cora,2708,111,0.002148,0.999597,0.989231,Keep original,0.989661,0.789661
Cora,2708,112,0.063927,0.981378,0.976876,Keep original,0.989661,0.789661
Cora,2708,113,0.029215,0.992419,0.983818,Keep original,0.989661,0.789661
Cora,2708,114,0.028603,0.991997,0.98394,Keep original,0.989661,0.789661
Cora,2708,115,0.0956,0.969777,0.970541,Accept refinement,0.989661,0.789661
Cora,2708,116,0.025338,0.993475,0.984593,Keep original,0.989661,0.789661
Cora,2708,117,0.002323,0.99955,0.989196,Keep original,0.989661,0.789661
Cora,2708,118,0.020802,0.994719,0.985501,Keep original,0.989661,0.789661
Cora,2708,119,0.002324,0.999554,0.989196,Keep original,0.989661,0.789661
Cora,2708,120,0.079106,0.975527,0.97384,Keep original,0.989661,0.789661
Cora,2708,121,0.01174,0.997019,0.987313,Keep original,0.989661,0.789661
Cora,2708,122,0.002436,0.999535,0.989174,Keep original,0.989661,0.789661
Cora,2708,123,0.001165,0.99979,0.989428,Keep original,0.989661,0.789661
Cora,2708,124,0.032626,0.991495,0.983136,Keep original,0.989661,0.789661
Cora,2708,125,0.01416,0.996542,0.986829,Keep original,0.989661,0.789661
Cora,2708,126,0.039149,0.989081,0.981831,Keep original,0.989661,0.789661
Cora,2708,127,0.005369,0.998836,0.988587,Keep original,0.989661,0.789661
Cora,2708,128,0.003369,0.99933,0.988987,Keep original,0.989661,0.789661
Cora,2708,129,0.023843,0.993988,0.984892,Keep original,0.989661,0.789661
Cora,2708,130,0.043513,0.987682,0.980958,Keep original,0.989661,0.789661
Cora,2708,131,0.050988,0.983996,0.979463,Keep original,0.989661,0.789661
Cora,2708,132,0.001399,0.999751,0.989381,Keep original,0.989661,0.789661
Cora,2708,133,0.02848,0.992692,0.983965,Keep original,0.989661,0.789661
Cora,2708,134,0.014547,0.996614,0.986751,Keep original,0.989661,0.789661
Cora,2708,135,0.010025,0.997587,0.987656,Keep original,0.989661,0.789661
Cora,2708,136,0.029139,0.992491,0.983833,Keep original,0.989661,0.789661
Cora,2708,137,0.003421,0.999264,0.988977,Keep original,0.989661,0.789661
Cora,2708,138,0.111672,0.963995,0.967327,Accept refinement,0.989661,0.789661
Cora,2708,139,0.005076,0.998949,0.988646,Keep original,0.989661,0.789661
Cora,2708,140,0.175171,0.936907,0.954627,Accept refinement,0.989661,0.789661
Cora,2708,141,0.344863,0.74994,0.920688,Accept refinement,0.989661,0.789661
Cora,2708,142,0.027425,0.992763,0.984176,Keep original,0.989661,0.789661
Cora,2708,143,0.213277,0.91896,0.947006,Accept refinement,0.989661,0.789661
Cora,2708,144,0.184569,0.914842,0.952747,Accept refinement,0.989661,0.789661
Cora,2708,145,0.12825,0.946218,0.964011,Accept refinement,0.989661,0.789661
Cora,2708,146,0.545158,0.63115,0.880629,Accept refinement,0.989661,0.789661
Cora,2708,147,0.891725,0.278118,0.811316,Accept refinement,0.989661,0.789661
Cora,2708,148,0.031048,0.991408,0.983451,Keep original,0.989661,0.789661
Cora,2708,149,0.555232,0.673773,0.878615,Accept refinement,0.989661,0.789661
Cora,2708,150,0.118345,0.95953,0.965992,Accept refinement,0.989661,0.789661
Cora,2708,151,0.312642,0.841577,0.927132,Accept refinement,0.989661,0.789661
Cora,2708,152,0.043957,0.987473,0.98087,Keep original,0.989661,0.789661
Cora,2708,153,0.060514,0.982585,0.977558,Keep original,0.989661,0.789661
Cora,2708,154,0.008614,0.998133,0.987938,Keep original,0.989661,0.789661
Cora,2708,155,0.005359,0.998858,0.988589,Keep original,0.989661,0.789661
Cora,2708,156,0.007989,0.998219,0.988063,Keep original,0.989661,0.789661
Cora,2708,157,0.232285,0.909306,0.943204,Accept refinement,0.989661,0.789661
Cora,2708,158,0.171943,0.925232,0.955272,Accept refinement,0.989661,0.789661
Cora,2708,159,0.114955,0.957771,0.96667,Accept refinement,0.989661,0.789661
Cora,2708,160,0.747341,0.526469,0.840193,Accept refinement,0.989661,0.789661
Cora,2708,161,0.497748,0.738518,0.890111,Accept refinement,0.989661,0.789661
Cora,2708,162,0.606947,0.535091,0.868272,Accept refinement,0.989661,0.789661
Cora,2708,163,0.002143,0.99958,0.989232,Keep original,0.989661,0.789661
Cora,2708,164,0.77495,0.407733,0.834671,Accept refinement,0.989661,0.789661
Cora,2708,165,0.205548,0.917887,0.948551,Accept refinement,0.989661,0.789661
Cora,2708,166,0.620513,0.48075,0.865558,Accept refinement,0.989661,0.789661
Cora,2708,167,0.568819,0.672747,0.875897,Accept refinement,0.989661,0.789661
Cora,2708,168,0.715898,0.555632,0.846481,Accept refinement,0.989661,0.789661
Cora,2708,169,0.315698,0.852146,0.926521,Accept refinement,0.989661,0.789661
Cora,2708,170,0.141315,0.951302,0.961398,Accept refinement,0.989661,0.789661
Cora,2708,171,0.158734,0.942029,0.957914,Accept refinement,0.989661,0.789661
Cora,2708,172,0.351478,0.814186,0.919365,Accept refinement,0.989661,0.789661
Cora,2708,173,0.084559,0.972391,0.972749,Accept refinement,0.989661,0.789661
Cora,2708,174,0.025192,0.993567,0.984623,Keep original,0.989661,0.789661
Cora,2708,175,0.010794,0.99756,0.987502,Keep original,0.989661,0.789661
Cora,2708,176,0.842097,0.341417,0.821242,Accept refinement,0.989661,0.789661
Cora,2708,177,0.138147,0.949012,0.962032,Accept refinement,0.989661,0.789661
Cora,2708,178,0.389674,0.805164,0.911726,Accept refinement,0.989661,0.789661
Cora,2708,179,0.522137,0.739101,0.885234,Accept refinement,0.989661,0.789661
Cora,2708,180,0.023871,0.993109,0.984887,Keep original,0.989661,0.789661
Cora,2708,181,0.117936,0.959892,0.966074,Accept refinement,0.989661,0.789661
Cora,2708,182,0.440507,0.795631,0.90156,Accept refinement,0.989661,0.789661
Cora,2708,183,0.468744,0.77815,0.895912,Accept refinement,0.989661,0.789661
Cora,2708,184,0.642487,0.522959,0.861164,Accept refinement,0.989661,0.789661
Cora,2708,185,0.439116,0.782544,0.901838,Accept refinement,0.989661,0.789661
Cora,2708,186,0.485654,0.634999,0.89253,Accept refinement,0.989661,0.789661
Cora,2708,187,0.287089,0.855831,0.932243,Accept refinement,0.989661,0.789661
Cora,2708,188,0.129279,0.956036,0.963805,Accept refinement,0.989661,0.789661
Cora,2708,189,0.0454,0.986776,0.980581,Keep original,0.989661,0.789661
Cora,2708,190,0.040804,0.98908,0.9815,Keep original,0.989661,0.789661
Cora,2708,191,0.804633,0.428627,0.828734,Accept refinement,0.989661,0.789661
Cora,2708,192,0.723213,0.51458,0.845018,Accept refinement,0.989661,0.789661
Cora,2708,193,0.020639,0.994912,0.985533,Keep original,0.989661,0.789661
Cora,2708,194,0.007573,0.998174,0.988146,Keep original,0.989661,0.789661
Cora,2708,195,0.195685,0.923561,0.950524,Accept refinement,0.989661,0.789661
Cora,2708,196,0.072272,0.975558,0.975207,Keep original,0.989661,0.789661
Cora,2708,197,0.464899,0.781827,0.896681,Accept refinement,0.989661,0.789661
Cora,2708,198,0.012609,0.996998,0.987139,Keep original,0.989661,0.789661
Cora,2708,199,0.484707,0.678601,0.89272,Accept refinement,0.989661,0.789661
Cora,2708,200,0.590981,0.613371,0.871465,Accept refinement,0.989661,0.789661
Cora,2708,201,0.053718,0.984113,0.978917,Keep original,0.989661,0.789661
Cora,2708,202,0.529713,0.720939,0.883718,Accept refinement,0.989661,0.789661
Cora,2708,203,0.431864,0.773672,0.903288,Accept refinement,0.989661,0.789661
Cora,2708,204,0.550081,0.680705,0.879645,Accept refinement,0.989661,0.789661
Cora,2708,205,0.588898,0.666458,0.871881,Accept refinement,0.989661,0.789661
Cora,2708,206,0.005654,0.99881,0.98853,Keep original,0.989661,0.789661
Cora,2708,207,0.494363,0.719757,0.890788,Accept refinement,0.989661,0.789661
Cora,2708,208,0.027375,0.99305,0.984186,Keep original,0.989661,0.789661
Cora,2708,209,0.676102,0.424253,0.854441,Accept refinement,0.989661,0.789661
Cora,2708,210,0.394223,0.719189,0.910816,Accept refinement,0.989661,0.789661
Cora,2708,211,0.744166,0.513395,0.840828,Accept refinement,0.989661,0.789661
Cora,2708,212,0.773112,0.457704,0.835038,Accept refinement,0.989661,0.789661
Cora,2708,213,0.184569,0.914842,0.952747,Accept refinement,0.989661,0.789661
Cora,2708,214,0.832547,0.444925,0.823151,Accept refinement,0.989661,0.789661
Cora,2708,215,0.606528,0.645741,0.868355,Accept refinement,0.989661,0.789661
Cora,2708,216,0.313181,0.865887,0.927025,Accept refinement,0.989661,0.789661
Cora,2708,217,0.048869,0.984998,0.979887,Keep original,0.989661,0.789661
Cora,2708,218,0.042104,0.987494,0.98124,Keep original,0.989661,0.789661
Cora,2708,219,0.469744,0.720524,0.895712,Accept refinement,0.989661,0.789661
Cora,2708,220,0.604559,0.490376,0.868749,Accept refinement,0.989661,0.789661
Cora,2708,221,0.105205,0.96313,0.96862,Accept refinement,0.989661,0.789661
Cora,2708,222,0.814649,0.407052,0.826731,Accept refinement,0.989661,0.789661
Cora,2708,223,0.246053,0.894558,0.94045,Accept refinement,0.989661,0.789661
Cora,2708,224,0.543676,0.601872,0.880926,Accept refinement,0.989661,0.789661
Cora,2708,225,0.675113,0.517238,0.854638,Accept refinement,0.989661,0.789661
Cora,2708,226,0.473966,0.770322,0.894868,Accept refinement,0.989661,0.789661
Cora,2708,227,0.075422,0.9769,0.974577,Keep original,0.989661,0.789661
Cora,2708,228,0.056537,0.980943,0.978354,Keep original,0.989661,0.789661
Cora,2708,229,0.392763,0.800231,0.911108,Accept refinement,0.989661,0.789661
Cora,2708,230,0.079985,0.973831,0.973664,Keep original,0.989661,0.789661
Cora,2708,231,0.476228,0.696297,0.894415,Accept refinement,0.989661,0.789661
Cora,2708,232,0.157437,0.943622,0.958174,Accept refinement,0.989661,0.789661
Cora,2708,233,0.023271,0.99402,0.985007,Keep original,0.989661,0.789661
Cora,2708,234,0.271084,0.876669,0.935444,Accept refinement,0.989661,0.789661
Cora,2708,235,0.298658,0.87578,0.929929,Accept refinement,0.989661,0.789661
Cora,2708,236,0.031397,0.991391,0.983382,Keep original,0.989661,0.789661
Cora,2708,237,0.149136,0.946131,0.959834,Accept refinement,0.989661,0.789661
Cora,2708,238,0.155659,0.939298,0.958529,Accept refinement,0.989661,0.789661
Cora,2708,239,0.065118,0.979454,0.976637,Keep original,0.989661,0.789661
Cora,2708,240,0.385411,0.778831,0.912579,Accept refinement,0.989661,0.789661
Cora,2708,241,0.378126,0.799475,0.914036,Accept refinement,0.989661,0.789661
Cora,2708,242,0.460716,0.7503,0.897518,Accept refinement,0.989661,0.789661
Cora,2708,243,0.022638,0.993882,0.985133,Keep original,0.989661,0.789661
Cora,2708,244,0.253836,0.882614,0.938894,Accept refinement,0.989661,0.789661
Cora,2708,245,0.217759,0.917863,0.946109,Accept refinement,0.989661,0.789661
Cora,2708,246,0.021067,0.994863,0.985448,Keep original,0.989661,0.789661
Cora,2708,247,0.303494,0.769334,0.928962,Accept refinement,0.989661,0.789661
Cora,2708,248,0.707636,0.412972,0.848134,Accept refinement,0.989661,0.789661
Cora,2708,249,0.113436,0.962317,0.966974,Accept refinement,0.989661,0.789661
Cora,2708,250,0.023609,0.993348,0.984939,Keep original,0.989661,0.789661
Cora,2708,251,0.22028,0.904684,0.945605,Accept refinement,0.989661,0.789661
Cora,2708,252,0.659205,0.484455,0.85782,Accept refinement,0.989661,0.789661
Cora,2708,253,0.488626,0.714535,0.891936,Accept refinement,0.989661,0.789661
Cora,2708,254,0.46768,0.735911,0.896125,Accept refinement,0.989661,0.789661
Cora,2708,255,0.726877,0.503914,0.844286,Accept refinement,0.989661,0.789661
Cora,2708,256,0.808761,0.381586,0.827909,Accept refinement,0.989661,0.789661
Cora,2708,257,0.018989,0.99533,0.985863,Keep original,0.989661,0.789661
Cora,2708,258,0.002378,0.999554,0.989185,Keep original,0.989661,0.789661
Cora,2708,259,0.002323,0.99955,0.989196,Keep original,0.989661,0.789661
Cora,2708,260,0.156057,0.945663,0.95845,Accept refinement,0.989661,0.789661
Cora,2708,261,0.349139,0.847808,0.919833,Accept refinement,0.989661,0.789661
Cora,2708,262,0.1776,0.930892,0.954141,Accept refinement,0.989661,0.789661
Cora,2708,263,0.067067,0.980127,0.976248,Keep original,0.989661,0.789661
Cora,2708,264,0.205236,0.919897,0.948614,Accept refinement,0.989661,0.789661
Cora,2708,265,0.483915,0.760507,0.892878,Accept refinement,0.989661,0.789661
Cora,2708,266,0.886659,0.32117,0.812329,Accept refinement,0.989661,0.789661
Cora,2708,267,0.847096,0.308336,0.820242,Accept refinement,0.989661,0.789661
Cora,2708,268,0.553001,0.661509,0.879061,Accept refinement,0.989661,0.789661
Cora,2708,269,0.006243,0.99868,0.988412,Keep original,0.989661,0.789661
Cora,2708,270,0.341688,0.83241,0.921323,Accept refinement,0.989661,0.789661
Cora,2708,271,0.234085,0.905274,0.942844,Accept refinement,0.989661,0.789661
Cora,2708,272,0.364058,0.836566,0.916849,Accept refinement,0.989661,0.789661
Cora,2708,273,0.646098,0.621843,0.860441,Accept refinement,0.989661,0.789661
Cora,2708,274,0.783556,0.490706,0.83295,Accept refinement,0.989661,0.789661
Cora,2708,275,0.525463,0.701312,0.884568,Accept refinement,0.989661,0.789661
Cora,2708,276,0.330288,0.854356,0.923603,Accept refinement,0.989661,0.789661
Cora,2708,277,0.922221,0.233269,0.805217,Accept refinement,0.989661,0.789661
Cora,2708,278,0.836758,0.441001,0.822309,Accept refinement,0.989661,0.789661
Cora,2708,279,0.217889,0.895535,0.946083,Accept refinement,0.989661,0.789661
Cora,2708,280,0.739786,0.399761,0.841704,Accept refinement,0.989661,0.789661
Cora,2708,281,0.023849,0.993019,0.984891,Keep original,0.989661,0.789661
Cora,2708,282,0.013251,0.996916,0.987011,Keep original,0.989661,0.789661
Cora,2708,283,0.133674,0.954362,0.962926,Accept refinement,0.989661,0.789661
Cora,2708,284,0.01857,0.995479,0.985947,Keep original,0.989661,0.789661
Cora,2708,285,0.468677,0.756805,0.895926,Accept refinement,0.989661,0.789661
Cora,2708,286,0.134951,0.950393,0.962671,Accept refinement,0.989661,0.789661
Cora,2708,287,0.754691,0.375214,0.838723,Accept refinement,0.989661,0.789661
Cora,2708,288,0.618972,0.513025,0.865867,Accept refinement,0.989661,0.789661
Cora,2708,289,0.570898,0.61152,0.875481,Accept refinement,0.989661,0.789661
Cora,2708,290,0.086078,0.971128,0.972445,Accept refinement,0.989661,0.789661
Cora,2708,291,0.516848,0.719623,0.886291,Accept refinement,0.989661,0.789661
Cora,2708,292,0.792445,0.342208,0.831172,Accept refinement,0.989661,0.789661
Cora,2708,293,0.575771,0.549879,0.874507,Accept refinement,0.989661,0.789661
Cora,2708,294,0.37687,0.831773,0.914287,Accept refinement,0.989661,0.789661
Cora,2708,295,0.289418,0.873241,0.931777,Accept refinement,0.989661,0.789661
Cora,2708,296,0.090232,0.971888,0.971615,Keep original,0.989661,0.789661
Cora,2708,297,0.123448,0.957872,0.964971,Accept refinement,0.989661,0.789661
Cora,2708,298,0.23217,0.908872,0.943227,Accept refinement,0.989661,0.789661
Cora,2708,299,0.588181,0.652987,0.872025,Accept refinement,0.989661,0.789661
Cora,2708,300,0.361676,0.771503,0.917326,Accept refinement,0.989661,0.789661
Cora,2708,301,0.07464,0.977796,0.974733,Keep original,0.989661,0.789661
Cora,2708,302,0.028472,0.992479,0.983967,Keep original,0.989661,0.789661
Cora,2708,303,0.207956,0.920802,0.94807,Accept refinement,0.989661,0.789661
Cora,2708,304,0.676189,0.601905,0.854423,Accept refinement,0.989661,0.789661
Cora,2708,305,0.323464,0.856429,0.924968,Accept refinement,0.989661,0.789661
Cora,2708,306,3e-06,1.0,0.98966,Keep original,0.989661,0.789661
Cora,2708,307,0.101157,0.967024,0.96943,Accept refinement,0.989661,0.789661
Cora,2708,308,0.028607,0.992654,0.98394,Keep original,0.989661,0.789661
Cora,2708,309,0.560037,0.51713,0.877653,Accept refinement,0.989661,0.789661
Cora,2708,310,0.00364,0.999195,0.988933,Keep original,0.989661,0.789661
Cora,2708,311,0.196222,0.916674,0.950417,Accept refinement,0.989661,0.789661
Cora,2708,312,0.323082,0.83661,0.925045,Accept refinement,0.989661,0.789661
Cora,2708,313,0.071105,0.977798,0.97544,Keep original,0.989661,0.789661
Cora,2708,314,0.794184,0.44568,0.830824,Accept refinement,0.989661,0.789661
Cora,2708,315,0.008563,0.998133,0.987948,Keep original,0.989661,0.789661
Cora,2708,316,0.042285,0.987704,0.981204,Keep original,0.989661,0.789661
Cora,2708,317,0.589944,0.607939,0.871672,Accept refinement,0.989661,0.789661
Cora,2708,318,0.363958,0.82692,0.916869,Accept refinement,0.989661,0.789661
Cora,2708,319,0.125551,0.955808,0.964551,Accept refinement,0.989661,0.789661
Cora,2708,320,0.367308,0.825918,0.916199,Accept refinement,0.989661,0.789661
Cora,2708,321,0.045995,0.986472,0.980462,Keep original,0.989661,0.789661
Cora,2708,322,0.170398,0.922197,0.955581,Accept refinement,0.989661,0.789661
Cora,2708,323,0.41004,0.794278,0.907653,Accept refinement,0.989661,0.789661
Cora,2708,324,0.878708,0.347669,0.813919,Accept refinement,0.989661,0.789661
Cora,2708,325,0.215258,0.916245,0.946609,Accept refinement,0.989661,0.789661
Cora,2708,326,0.128585,0.9571,0.963944,Accept refinement,0.989661,0.789661
Cora,2708,327,0.038504,0.989179,0.98196,Keep original,0.989661,0.789661
Cora,2708,328,0.165565,0.939863,0.956548,Accept refinement,0.989661,0.789661
Cora,2708,329,0.308539,0.872395,0.927953,Accept refinement,0.989661,0.789661
Cora,2708,330,0.212518,0.91492,0.947157,Accept refinement,0.989661,0.789661
Cora,2708,331,0.505624,0.548332,0.888536,Accept refinement,0.989661,0.789661
Cora,2708,332,0.067025,0.976697,0.976256,Keep original,0.989661,0.789661
Cora,2708,333,0.23844,0.89609,0.941973,Accept refinement,0.989661,0.789661
Cora,2708,334,0.262979,0.892669,0.937065,Accept refinement,0.989661,0.789661
Cora,2708,335,0.475399,0.770871,0.894581,Accept refinement,0.989661,0.789661
Cora,2708,336,0.304512,0.864583,0.928759,Accept refinement,0.989661,0.789661
Cora,2708,337,0.268523,0.878207,0.935956,Accept refinement,0.989661,0.789661
Cora,2708,338,0.272385,0.880361,0.935184,Accept refinement,0.989661,0.789661
Cora,2708,339,0.78617,0.430986,0.832427,Accept refinement,0.989661,0.789661
Cora,2708,340,0.260325,0.898242,0.937596,Accept refinement,0.989661,0.789661
Cora,2708,341,0.196278,0.917254,0.950405,Accept refinement,0.989661,0.789661
Cora,2708,342,0.848327,0.338159,0.819996,Accept refinement,0.989661,0.789661
Cora,2708,343,0.246698,0.900491,0.940321,Accept refinement,0.989661,0.789661
Cora,2708,344,0.102316,0.965915,0.969198,Accept refinement,0.989661,0.789661
Cora,2708,345,0.47627,0.734776,0.894407,Accept refinement,0.989661,0.789661
Cora,2708,346,0.045718,0.987438,0.980517,Keep original,0.989661,0.789661
